URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,223,81,0.4671052616213643,0.08685714283232654,12.589928057553957,64.65714285714286,30.898828365878728,12.589928057553957,2263,3612,3.1614285714285715,0,8.212571428571428
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,34,10,0.5454545330578515,0.07508532410394995,10.464285714285714,56.14334470989761,26.643052169673332,10.464285714285714,329,611,3.3959044368600684,0,9.27815699658703
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,33,18,0.29411764129181095,0.06836461116841205,18.65,49.32975871313673,27.191903485254695,18.65,368,779,2.993297587131367,0,8.243967828418231
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,16,9,0.27999998880000043,0.04332755625073214,9.948275862068966,59.09878682842288,27.61882507619674,9.948275862068966,341,601,3.289428076256499,0,8.642980935875217
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,18,5,0.5652173667296797,0.035603715115164525,18.457142857142856,51.08359133126935,27.81629367536489,18.457142857142856,330,697,2.955108359133127,0,7.905572755417957
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,11,18,-0.24137930202140337,0.0533088234314176,9.379310344827585,56.25,26.251724137931035,9.379310344827585,306,554,3.1286764705882355,0,8.272058823529411
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,12,7,0.26315788088642733,0.04600484250362023,12.147058823529411,50.12106537530266,24.907249679532832,12.147058823529411,207,426,2.9055690072639226,0,8.128329297820823
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,13,7,0.29999998500000075,0.047619047505668935,14.0,47.61904761904761,24.647619047619045,14.0,200,436,2.9309523809523808,0,8.17142857142857
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,12,30,-0.4285714183673472,0.08015267160276207,15.411764705882353,48.282442748091604,25.477682981589584,15.411764705882353,253,549,2.963740458015267,0,8.032442748091603
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,37,16,0.3962264076183697,0.060710194661271255,25.676470588235293,57.50286368843069,33.271733710666396,25.676470588235293,502,924,3.09163802978236,0,8.09163802978236
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,53,17,0.5142857069387756,0.11864406759551853,10.172413793103448,60.84745762711864,28.407948568088838,10.172413793103448,359,608,3.3745762711864407,0,8.920338983050847
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,17,11,0.21428570663265334,0.05845511470051124,14.088235294117647,48.8517745302714,25.17600392975562,14.088235294117647,234,508,2.8308977035490606,0,8.156576200417536
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,15,4,0.5789473379501401,0.04194260476392361,21.571428571428573,51.434878587196465,29.202522863450014,21.571428571428573,233,484,2.849889624724062,0,7.600441501103753
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,45,17,0.4516128959417275,0.08125819124343618,19.075,56.74967234600262,30.32986893840105,19.075,433,814,2.9528178243774574,0,7.857142857142857
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,26,11,0.4054053944485029,0.067518248051974,13.047619047619047,57.11678832116789,28.065762947514777,13.047619047619047,313,606,2.989051094890511,0,7.757299270072993
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,36,8,0.6363636219008268,0.0705128203998192,14.857142857142858,45.993589743589745,24.34029304029304,14.857142857142858,287,666,2.66025641025641,0,7.639423076923077
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,20,5,0.599999976000001,0.042517006730413254,10.88888888888889,48.80952380952381,23.87936507936508,10.88888888888889,287,635,2.7023809523809526,0,7.48639455782313
